epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,2208.24,1.58567,0.93465,0.90754,0.96414,0.91909,0.95519,0.45805,1.74787,0.79791,0.94596,0.000338955,0.000338955,0.000338955
121,2228.35,1.57793,0.95723,0.89808,0.95298,0.9161,0.95118,0.46972,1.72252,0.78663,0.94067,0.0003334,0.0003334,0.0003334
122,2248.78,1.61231,0.99044,0.91458,0.9635,0.91567,0.94871,0.47048,1.72467,0.78199,0.94217,0.000327845,0.000327845,0.000327845
123,2269.53,1.57189,0.92912,0.89773,0.96786,0.91347,0.9532,0.47134,1.72832,0.78117,0.94409,0.00032229,0.00032229,0.00032229
124,2289.07,1.56894,0.9116,0.89681,0.96617,0.91355,0.94743,0.46581,1.75698,0.78543,0.94521,0.000316735,0.000316735,0.000316735
125,2308.48,1.55286,0.92969,0.88929,0.96057,0.89844,0.94756,0.44724,1.78749,0.79198,0.95173,0.00031118,0.00031118,0.00031118
126,2328.65,1.56806,0.95595,0.90877,0.95811,0.89189,0.93986,0.4422,1.82068,0.79981,0.95836,0.000305625,0.000305625,0.000305625
127,2347.77,1.56322,0.94049,0.90797,0.94733,0.92461,0.94824,0.45963,1.766,0.7864,0.94738,0.00030007,0.00030007,0.00030007
128,2366.94,1.54532,0.89397,0.89136,0.96294,0.90255,0.94258,0.45856,1.78026,0.79038,0.95211,0.000294515,0.000294515,0.000294515
129,2385.73,1.57,0.9282,0.89714,0.95589,0.90577,0.94232,0.46332,1.75509,0.79048,0.94909,0.00028896,0.00028896,0.00028896
130,2403.82,1.53535,0.85656,0.88966,0.95777,0.90135,0.94231,0.46988,1.73372,0.78354,0.94382,0.000283405,0.000283405,0.000283405
131,2421.76,1.54702,0.93501,0.88677,0.96957,0.90037,0.95042,0.4746,1.7186,0.77846,0.93963,0.00027785,0.00027785,0.00027785
132,2440.19,1.53345,0.87418,0.88618,0.95535,0.92037,0.95411,0.46532,1.74836,0.77765,0.94532,0.000272295,0.000272295,0.000272295
133,2459.49,1.59457,0.93333,0.89821,0.9573,0.91604,0.94921,0.46248,1.76299,0.78457,0.94874,0.00026674,0.00026674,0.00026674
134,2477.77,1.5452,0.94528,0.8883,0.95493,0.9182,0.94606,0.46043,1.77829,0.77884,0.95158,0.000261185,0.000261185,0.000261185
135,2495.88,1.52507,0.90387,0.88671,0.95981,0.9005,0.94253,0.45593,1.77677,0.78441,0.95173,0.00025563,0.00025563,0.00025563
136,2514.54,1.4943,0.88409,0.88504,0.96403,0.90411,0.94196,0.45432,1.78759,0.78833,0.95466,0.000250075,0.000250075,0.000250075
137,2534.1,1.53879,0.94104,0.90547,0.96281,0.9059,0.94663,0.46079,1.76806,0.77941,0.94995,0.00024452,0.00024452,0.00024452
138,2552.66,1.52305,0.92206,0.89402,0.95804,0.90487,0.94451,0.46068,1.75964,0.78162,0.94805,0.000238965,0.000238965,0.000238965
139,2571.12,1.49333,0.89481,0.88706,0.97262,0.91354,0.95604,0.47089,1.74499,0.76504,0.94523,0.00023341,0.00023341,0.00023341
140,2588.94,1.5221,0.90879,0.89075,0.95824,0.92556,0.95363,0.46358,1.76277,0.76734,0.94767,0.000227855,0.000227855,0.000227855
141,2607.68,1.51945,0.8955,0.8918,0.96516,0.91977,0.95275,0.46562,1.74553,0.76804,0.94929,0.0002223,0.0002223,0.0002223
142,2625.34,1.48343,0.869,0.89574,0.96988,0.90535,0.93982,0.46101,1.77454,0.7814,0.95312,0.000216745,0.000216745,0.000216745
143,2642.39,1.51178,0.88492,0.8868,0.97126,0.90451,0.94403,0.45591,1.76787,0.78444,0.94942,0.00021119,0.00021119,0.00021119
144,2660.13,1.48063,0.87211,0.88588,0.97162,0.91519,0.9513,0.4638,1.74667,0.7681,0.94836,0.000205635,0.000205635,0.000205635
